time_s,iters,rps,mbps,p50_us,p95_us,p99_us,cpu_pct,rss_mb,errors
820,302593186,373944,11685.7,43.65,58.5,66.5,466.303,5,0
830,306330221,373485,11671.4,43.65,58.5,66.5,465.312,5,0
840,310055471,372474,11639.8,43.65,58.5,66.5,477.031,5,0
851,313778521,371827,11619.6,43.65,58.5,66.5,476.599,5,0
861,317499692,372046,11626.4,43.65,58.5,65.5,482.344,5,0
871,321224753,371932,11622.9,43.65,58.5,65.5,480.187,5,0
881,324945149,371460,11608.1,43.65,58.5,65.5,488.612,5,0
891,328672697,372157,11629.9,43.65,58.5,65.5,475.195,5,0
901,332399777,372124,11628.9,43.65,58.5,65.5,463.339,5,0
911,336124110,371875,11621.1,43.65,58.5,65.5,484.867,5,0
921,339848826,371869,11620.9,43.65,58.5,65.5,469.267,5,0
931,343567925,371565,11611.4,43.65,58.5,65.5,480.811,5,0
941,347293330,372117,11628.7,43.65,58.5,65.5,492.656,5,0
951,351018114,372093,11627.9,43.65,58.5,65.5,479.563,5,0
961,354757094,373300,11665.6,43.65,58.5,65.5,464.743,5,0
971,358503271,374033,11688.5,43.65,58.5,65.5,459.126,5,0
981,362246833,373794,11681,43.65,58.5,65.5,458.814,5,0
991,365988827,373621,11675.7,43.65,58.5,65.5,459.906,5,0
1001,369732160,373759,11680,43.65,58.5,65.5,465.055,5,0
1011,373481348,374311,11697.2,43.65,58.5,65.5,460.53,5,0
1021,377223537,373655,11676.7,43.65,58.5,65.5,465.211,5,0
1031,380953016,372365,11636.4,43.65,58.5,65.5,458.034,5,0
1041,384679215,372177,11630.5,43.65,58.5,65.5,464.743,5,0
1051,388408344,372745,11648.3,43.65,58.5,65.5,452.656,5,0
1061,392142546,372857,11651.8,43.65,58.5,65.5,465.991,5,0
1071,395877024,372868,11652.1,43.65,58.5,65.5,460.53,5,0
1081,399605260,372243,11632.6,43.65,58.5,65.5,469.735,5,0
1091,403336203,372486,11640.2,43.65,58.5,65.5,475.975,5,0
1101,407060598,371869,11620.9,43.65,58.5,65.5,460.062,5,0
1111,410788183,372302,11634.5,43.65,58.5,65.5,460.218,5,0
1121,414511499,372213,11631.7,43.65,58.5,65.5,463.75,5,0
1131,418235742,372240,11632.5,43.65,58.5,65.5,466.25,5,0
1141,421966108,372651,11645.3,43.65,58.5,65.5,466.615,5,0
1151,425696918,372505,11640.8,43.65,58.5,65.5,468.487,5,0
1161,429429203,372612,11644.1,43.55,58.5,65.5,467.395,5,0
1171,433156733,372173,11630.4,43.55,58.5,65.5,463.339,5,0
1181,436882405,372009,11625.3,43.55,58.5,65.5,467.707,5,0
1191,440610724,372255,11633,43.55,58.5,65.5,466.459,5,0
1201,444335006,371828,11619.6,43.55,58.5,65.5,468.643,5,0
1211,448062628,372170,11630.3,43.55,58.5,65.5,468.955,5,0
1221,451792620,372494,11640.4,43.55,58.5,65.5,466.615,5,0
1231,455511076,371515,11609.8,43.55,58.5,65.5,475.469,5,0
1241,459242760,372841,11651.3,43.55,58.5,65.5,459.594,5,0
1251,462973387,372486,11640.2,43.55,58.5,65.5,469.891,5,0
1261,466702264,372353,11636,43.55,58.5,65.5,463.183,5,0
1271,470434627,372603,11643.8,43.55,58.5,65.5,462.246,5,0
1281,474165121,372482,11640.1,43.55,58.5,65.5,461.154,5,0
1291,477894097,372323,11635.1,43.55,58.5,65.5,465.367,5,0
1301,481627445,372759,11648.7,43.55,58.5,65.5,471.919,5,0
1311,485356246,372615,11644.2,43.55,58.5,65.5,471.875,5,0
1321,489082921,372271,11633.5,43.55,58.5,65.5,453.666,5,0
1331,492814201,372602,11643.8,43.55,58.5,65.5,465.991,5,0
1341,496543560,372423,11638.2,43.55,58.5,65.5,464.431,5,0
1351,500273073,372881,11652.5,43.55,58.5,65.5,463.125,5,0
1361,504006544,372791,11649.7,43.55,58.5,65.5,463.963,5,0
1371,507740196,372784,11649.5,43.55,58.5,65.5,458.19,5,0
1381,511470107,372693,11646.7,43.55,58.5,65.5,470.469,5,0
1391,515199917,372695,11646.7,43.55,58.5,65.5,461.622,5,0
1401,518936334,373040,11657.5,43.55,58.5,65.5,461.466,5,0
1411,522667869,372718,11647.5,43.55,58.5,65.5,461.31,5,0
1421,526396203,372707,11647.1,43.55,58.5,65.5,457.344,5,0
1431,530135221,373290,11665.3,43.55,58.5,65.5,457.566,5,0
1441,533870332,372944,11654.5,43.55,58.5,65.5,464.275,5,0
1451,537604370,372821,11650.6,43.55,58.5,65.5,459.75,5,0
1461,541337688,372738,11648.1,43.55,58.5,65.5,463.495,5,0
1471,545064597,372180,11630.6,43.55,58.5,65.5,458.97,5,0
1481,548797396,372746,11648.3,43.55,58.5,65.5,466.303,5,0
1491,552534191,373235,11663.6,43.55,58.5,65.5,466.333,5,0
1501,556266200,372762,11648.8,43.55,58.5,65.5,466.532,5,0
1511,559996424,372626,11644.6,43.55,58.5,65.5,458.346,5,0
1521,563730338,372807,11650.2,43.55,58.5,65.5,459.594,5,0
1531,567462497,372618,11644.3,43.55,58.5,65.5,469.111,5,0
1541,571200285,373203,11662.6,43.55,58.5,65.5,460.374,5,0
1551,574931840,372596,11643.6,43.55,58.5,65.5,455.07,5,0
1561,578663222,372546,11642.1,43.55,58.5,65.5,462.559,5,0
1571,582399329,373040,11657.5,43.55,58.5,65.5,472.075,5,0
1581,586134424,372911,11653.5,43.55,58.5,65.5,474.103,5,0
